Abbreviation,TeamName,GridPosition,Position,Status,box,median_laptime,Q_best_sec,year,race,rainfall
GAS,AlphaTauri,4.0,3.0,Finished,3.0,106.8285,101.565,2021,Azerbaijan Grand Prix,False
LEC,Ferrari,1.0,4.0,Finished,3.0,106.789,101.218,2021,Azerbaijan Grand Prix,False
NOR,McLaren,9.0,5.0,Finished,3.0,106.7625,101.747,2021,Azerbaijan Grand Prix,False
ALO,Alpine,8.0,6.0,Finished,4.0,108.116,102.327,2021,Azerbaijan Grand Prix,False
TSU,AlphaTauri,7.0,7.0,Finished,3.0,106.7075,102.211,2021,Azerbaijan Grand Prix,False
SAI,Ferrari,5.0,8.0,Finished,3.0,107.2475,101.576,2021,Azerbaijan Grand Prix,False
RIC,McLaren,13.0,9.0,Finished,3.0,107.022,102.558,2021,Azerbaijan Grand Prix,False
RAI,Alfa Romeo Racing,14.0,10.0,Finished,3.0,107.6715,102.587,2021,Azerbaijan Grand Prix,False
BOT,Mercedes,10.0,12.0,Finished,3.0,106.963,102.659,2021,Azerbaijan Grand Prix,False
MSC,Haas F1 Team,17.0,13.0,Finished,5.0,108.479,104.158,2021,Azerbaijan Grand Prix,False
MAZ,Haas F1 Team,18.0,14.0,Finished,6.0,109.15,104.238,2021,Azerbaijan Grand Prix,False
HAM,Mercedes,2.0,15.0,Finished,3.0,106.1085,101.45,2021,Azerbaijan Grand Prix,False
LAT,Williams,16.0,16.0,Finished,2.0,108.063,103.128,2021,Azerbaijan Grand Prix,False
RUS,Williams,15.0,17.0,DNF,3.0,108.199,102.758,2021,Azerbaijan Grand Prix,False
VER,Red Bull Racing,3.0,18.0,DNF,1.0,105.723,101.563,2021,Azerbaijan Grand Prix,False
OCO,Alpine,12.0,20.0,Finished,0.0,115.4495,102.273,2021,Azerbaijan Grand Prix,False
VER,Red Bull Racing,1.0,1.0,Finished,2.0,97.727,89.99,2021,French Grand Prix,False
HAM,Mercedes,2.0,2.0,Finished,1.0,98.431,90.248,2021,French Grand Prix,False
PER,Red Bull Racing,4.0,3.0,Finished,1.0,98.28,90.445,2021,French Grand Prix,False
BOT,Mercedes,3.0,4.0,Finished,1.0,98.719,90.376,2021,French Grand Prix,False
NOR,McLaren,8.0,5.0,Finished,1.0,99.289,91.252,2021,French Grand Prix,False
RIC,McLaren,10.0,6.0,Finished,1.0,99.431,91.382,2021,French Grand Prix,False
GAS,AlphaTauri,6.0,7.0,Finished,1.0,99.851,90.868,2021,French Grand Prix,False
ALO,Alpine,9.0,8.0,Finished,1.0,99.534,91.34,2021,French Grand Prix,False
VET,Aston Martin,12.0,9.0,Finished,1.0,100.256,91.767,2021,French Grand Prix,False
SAI,Ferrari,5.0,11.0,Finished,1.0,100.192,90.84,2021,French Grand Prix,False
RUS,Williams,14.0,12.0,Finished,1.0,100.1605,92.065,2021,French Grand Prix,False
OCO,Alpine,11.0,14.0,Finished,1.0,100.809,91.736,2021,French Grand Prix,False
GIO,Alfa Romeo Racing,13.0,15.0,Finished,1.0,100.8325,91.813,2021,French Grand Prix,False
LEC,Ferrari,7.0,16.0,Finished,2.0,100.266,90.987,2021,French Grand Prix,False
RAI,Alfa Romeo Racing,17.0,17.0,Finished,1.0,101.086,93.354,2021,French Grand Prix,False
LAT,Williams,16.0,18.0,Finished,1.0,100.848,93.062,2021,French Grand Prix,False
MSC,Haas F1 Team,15.0,19.0,Finished,1.0,100.743,92.942,2021,French Grand Prix,False
MAZ,Haas F1 Team,18.0,20.0,Finished,1.0,101.796,93.554,2021,French Grand Prix,False
VER,Red Bull Racing,1.0,1.0,Finished,1.0,69.148,63.841,2021,Styrian Grand Prix,False
HAM,Mercedes,2.0,2.0,Finished,2.0,69.424,64.067,2021,Styrian Grand Prix,False
BOT,Mercedes,5.0,3.0,Finished,1.0,69.717,64.035,2021,Styrian Grand Prix,False
PER,Red Bull Racing,4.0,4.0,Finished,2.0,69.342,64.168,2021,Styrian Grand Prix,False
NOR,McLaren,3.0,5.0,Finished,1.0,70.02,64.12,2021,Styrian Grand Prix,False
SAI,Ferrari,12.0,6.0,Finished,1.0,70.0465,64.8,2021,Styrian Grand Prix,False
LEC,Ferrari,7.0,7.0,Finished,2.0,70.3985,64.472,2021,Styrian Grand Prix,False
STR,Aston Martin,9.0,8.0,Finished,1.0,70.363,64.708,2021,Styrian Grand Prix,False
ALO,Alpine,8.0,9.0,Finished,1.0,70.5675,64.574,2021,Styrian Grand Prix,False
TSU,AlphaTauri,11.0,10.0,Finished,1.0,70.423,64.514,2021,Styrian Grand Prix,False
RAI,Alfa Romeo Racing,18.0,11.0,Finished,1.0,70.798,65.429,2021,Styrian Grand Prix,False
VET,Aston Martin,14.0,12.0,Finished,1.0,70.564,64.875,2021,Styrian Grand Prix,False
RIC,McLaren,13.0,13.0,Finished,1.0,71.045,64.808,2021,Styrian Grand Prix,False
OCO,Alpine,17.0,14.0,Finished,1.0,71.0895,65.217,2021,Styrian Grand Prix,False
GIO,Alfa Romeo Racing,15.0,15.0,Finished,1.0,70.6325,64.913,2021,Styrian Grand Prix,False
MSC,Haas F1 Team,19.0,16.0,Finished,1.0,71.861,66.041,2021,Styrian Grand Prix,False
LAT,Williams,16.0,17.0,Finished,2.0,71.205,65.175,2021,Styrian Grand Prix,False
MAZ,Haas F1 Team,20.0,18.0,Finished,1.0,72.2235,66.192,2021,Styrian Grand Prix,False
RUS,Williams,10.0,19.0,DNF,2.0,71.5265,64.671,2021,Styrian Grand Prix,False
VER,Red Bull Racing,1.0,1.0,Finished,2.0,68.887,63.72,2021,Austrian Grand Prix,True
BOT,Mercedes,5.0,2.0,Finished,1.0,69.216,64.049,2021,Austrian Grand Prix,True
NOR,McLaren,2.0,3.0,Finished,1.0,69.247,63.768,2021,Austrian Grand Prix,True
HAM,Mercedes,4.0,4.0,Finished,2.0,69.434,64.014,2021,Austrian Grand Prix,True
SAI,Ferrari,10.0,5.0,Finished,1.0,69.961,64.559,2021,Austrian Grand Prix,True
PER,Red Bull Racing,3.0,6.0,Finished,1.0,69.709,63.99,2021,Austrian Grand Prix,True
RIC,McLaren,13.0,7.0,Finished,1.0,69.82,64.719,2021,Austrian Grand Prix,True
LEC,Ferrari,12.0,8.0,Finished,1.0,69.934,64.6,2021,Austrian Grand Prix,True
GAS,AlphaTauri,6.0,9.0,Finished,2.0,69.783,64.107,2021,Austrian Grand Prix,True
ALO,Alpine,14.0,10.0,Finished,1.0,70.0785,64.856,2021,Austrian Grand Prix,True
RUS,Williams,8.0,11.0,Finished,1.0,70.269,64.591,2021,Austrian Grand Prix,True
TSU,AlphaTauri,7.0,12.0,Finished,2.0,70.041,64.273,2021,Austrian Grand Prix,True
STR,Aston Martin,9.0,13.0,Finished,2.0,70.3095,64.618,2021,Austrian Grand Prix,True
GIO,Alfa Romeo Racing,15.0,14.0,Finished,2.0,70.168,65.083,2021,Austrian Grand Prix,True
RAI,Alfa Romeo Racing,16.0,15.0,Finished,1.0,70.3395,65.009,2021,Austrian Grand Prix,True
LAT,Williams,18.0,16.0,Finished,1.0,70.6785,65.195,2021,Austrian Grand Prix,True
VET,Aston Martin,11.0,17.0,DNF,2.0,69.966,64.57,2021,Austrian Grand Prix,True
MSC,Haas F1 Team,19.0,18.0,Finished,1.0,71.079,65.427,2021,Austrian Grand Prix,True
MAZ,Haas F1 Team,20.0,19.0,Finished,2.0,71.798,65.951,2021,Austrian Grand Prix,True
HAM,Mercedes,2.0,1.0,Finished,2.0,91.946,86.134,2021,British Grand Prix,False
LEC,Ferrari,4.0,2.0,Finished,2.0,92.0205,86.828,2021,British Grand Prix,False
BOT,Mercedes,3.0,3.0,Finished,2.0,92.1565,86.328,2021,British Grand Prix,False
NOR,McLaren,5.0,4.0,Finished,2.0,92.2835,86.897,2021,British Grand Prix,False
RIC,McLaren,6.0,5.0,Finished,2.0,92.616,86.899,2021,British Grand Prix,False
SAI,Ferrari,10.0,6.0,Finished,2.0,92.36,87.007,2021,British Grand Prix,False
ALO,Alpine,7.0,7.0,Finished,2.0,93.2655,87.245,2021,British Grand Prix,False
STR,Aston Martin,14.0,8.0,Finished,2.0,93.3415,87.665,2021,British Grand Prix,False
OCO,Alpine,9.0,9.0,Finished,2.0,93.0825,87.34,2021,British Grand Prix,False
TSU,AlphaTauri,16.0,10.0,Finished,2.0,93.455,88.043,2021,British Grand Prix,False
GAS,AlphaTauri,11.0,11.0,Finished,3.0,92.9985,87.273,2021,British Grand Prix,False
RUS,Williams,12.0,12.0,Finished,2.0,93.566,86.971,2021,British Grand Prix,False
GIO,Alfa Romeo Racing,15.0,13.0,Finished,2.0,93.726,87.617,2021,British Grand Prix,False
LAT,Williams,17.0,14.0,Finished,2.0,93.566,88.254,2021,British Grand Prix,False
RAI,Alfa Romeo Racing,13.0,15.0,Finished,2.0,93.56,88.062,2021,British Grand Prix,False
PER,Red Bull Racing,0.0,16.0,Finished,4.0,93.2415,86.844,2021,British Grand Prix,False
MAZ,Haas F1 Team,19.0,17.0,Finished,2.0,95.376,89.051,2021,British Grand Prix,False
MSC,Haas F1 Team,18.0,18.0,Finished,2.0,95.452,88.738,2021,British Grand Prix,False
VET,Aston Martin,8.0,19.0,DNF,2.0,93.709,87.179,2021,British Grand Prix,False
OCO,Alpine,8.0,1.0,Finished,3.0,82.77,76.653,2021,Hungarian Grand Prix,True
HAM,Mercedes,1.0,2.0,Finished,4.0,81.668,75.419,2021,Hungarian Grand Prix,True
SAI,Ferrari,15.0,3.0,Finished,3.0,82.203,76.649,2021,Hungarian Grand Prix,True
ALO,Alpine,9.0,4.0,Finished,3.0,82.599,76.715,2021,Hungarian Grand Prix,True
GAS,AlphaTauri,5.0,5.0,Finished,4.0,82.616,76.483,2021,Hungarian Grand Prix,True
TSU,AlphaTauri,16.0,6.0,Finished,3.0,83.182,77.919,2021,Hungarian Grand Prix,True
LAT,Williams,18.0,7.0,Finished,3.0,83.535,78.036,2021,Hungarian Grand Prix,True
RUS,Williams,17.0,8.0,Finished,3.0,83.496,77.944,2021,Hungarian Grand Prix,True
VER,Red Bull Racing,3.0,9.0,Finished,5.0,83.252,75.84,2021,Hungarian Grand Prix,True
RAI,Alfa Romeo Racing,13.0,10.0,Finished,4.0,83.3165,77.564,2021,Hungarian Grand Prix,True
RIC,McLaren,11.0,11.0,Finished,3.0,84.0005,76.871,2021,Hungarian Grand Prix,True
GIO,Alfa Romeo Racing,0.0,13.0,Finished,5.0,83.537,77.583,2021,Hungarian Grand Prix,True
VET,Aston Martin,10.0,20.0,Finished,3.0,82.565,76.75,2021,Hungarian Grand Prix,True
VER,Red Bull Racing,1.0,1.0,Finished,2.0,74.495,68.885,2021,Dutch Grand Prix,False
HAM,Mercedes,2.0,2.0,Finished,3.0,74.5365,68.923,2021,Dutch Grand Prix,False
BOT,Mercedes,3.0,3.0,Finished,2.0,75.1605,69.222,2021,Dutch Grand Prix,False
GAS,AlphaTauri,4.0,4.0,Finished,1.0,75.989,69.478,2021,Dutch Grand Prix,False
LEC,Ferrari,5.0,5.0,Finished,1.0,76.196,69.527,2021,Dutch Grand Prix,False
ALO,Alpine,9.0,6.0,Finished,1.0,76.352,69.956,2021,Dutch Grand Prix,False
SAI,Ferrari,6.0,7.0,Finished,1.0,76.295,69.537,2021,Dutch Grand Prix,False
PER,Red Bull Racing,0.0,8.0,Finished,2.0,75.8625,70.53,2021,Dutch Grand Prix,False
OCO,Alpine,8.0,9.0,Finished,1.0,76.575,69.933,2021,Dutch Grand Prix,False
NOR,McLaren,13.0,10.0,Finished,1.0,76.313,70.406,2021,Dutch Grand Prix,False
RIC,McLaren,10.0,11.0,Finished,1.0,76.782,70.166,2021,Dutch Grand Prix,False
STR,Aston Martin,12.0,12.0,Finished,1.0,76.8795,70.367,2021,Dutch Grand Prix,False
VET,Aston Martin,15.0,13.0,Finished,2.0,76.777,70.731,2021,Dutch Grand Prix,False
GIO,Alfa Romeo Racing,7.0,14.0,Finished,2.0,76.9375,69.59,2021,Dutch Grand Prix,False
KUB,Alfa Romeo Racing,16.0,15.0,Finished,1.0,77.758,71.301,2021,Dutch Grand Prix,False
LAT,Williams,0.0,16.0,Finished,1.0,77.452,71.161,2021,Dutch Grand Prix,False
RUS,Williams,11.0,17.0,DNF,2.0,76.785,70.332,2021,Dutch Grand Prix,False
MSC,Haas F1 Team,17.0,18.0,Finished,2.0,77.656,71.387,2021,Dutch Grand Prix,False
TSU,AlphaTauri,14.0,19.0,DNF,1.0,77.323,71.314,2021,Dutch Grand Prix,False
MAZ,Haas F1 Team,18.0,20.0,DNF,1.0,78.4255,71.875,2021,Dutch Grand Prix,False
RIC,McLaren,2.0,1.0,Finished,1.0,86.313,79.995,2021,Italian Grand Prix,False
NOR,McLaren,3.0,2.0,Finished,1.0,86.497,79.989,2021,Italian Grand Prix,False
BOT,Mercedes,19.0,3.0,Finished,1.0,86.597,79.555,2021,Italian Grand Prix,False
LEC,Ferrari,5.0,4.0,Finished,1.0,86.543,80.51,2021,Italian Grand Prix,False
PER,Red Bull Racing,8.0,5.0,Finished,1.0,86.594,80.611,2021,Italian Grand Prix,False
SAI,Ferrari,6.0,6.0,Finished,1.0,86.985,80.462,2021,Italian Grand Prix,False
STR,Aston Martin,9.0,7.0,Finished,1.0,87.254,81.02,2021,Italian Grand Prix,False
ALO,Alpine,10.0,8.0,Finished,1.0,87.319,81.069,2021,Italian Grand Prix,False
