Abbreviation,TeamName,GridPosition,Position,Status,box,median_laptime,Q_best_sec,year,race,rainfall
GIO,Alfa Romeo Racing,11.0,11.0,Finished,1.0,82.727,78.29,2021,Mexico City Grand Prix,False
RIC,McLaren,7.0,12.0,Finished,2.0,82.515,76.763,2021,Mexico City Grand Prix,False
OCO,Alpine,19.0,13.0,Finished,1.0,83.005,78.405,2021,Mexico City Grand Prix,False
STR,Aston Martin,20.0,14.0,Finished,2.0,82.62,80.873,2021,Mexico City Grand Prix,False
BOT,Mercedes,1.0,15.0,Finished,4.0,82.889,75.875,2021,Mexico City Grand Prix,False
RUS,Williams,16.0,16.0,Finished,1.0,83.395,78.172,2021,Mexico City Grand Prix,False
LAT,Williams,13.0,17.0,Finished,2.0,83.494,78.756,2021,Mexico City Grand Prix,False
MAZ,Haas F1 Team,15.0,18.0,Finished,2.0,84.6165,79.303,2021,Mexico City Grand Prix,False
HAM,Mercedes,10.0,1.0,Finished,4.0,73.503,67.934,2021,São Paulo Grand Prix,False
VER,Red Bull Racing,2.0,2.0,Finished,4.0,74.0,68.372,2021,São Paulo Grand Prix,False
BOT,Mercedes,1.0,3.0,Finished,4.0,73.5835,68.469,2021,São Paulo Grand Prix,False
PER,Red Bull Racing,4.0,4.0,Finished,5.0,73.664,68.483,2021,São Paulo Grand Prix,False
LEC,Ferrari,6.0,5.0,Finished,4.0,74.621,68.96,2021,São Paulo Grand Prix,False
SAI,Ferrari,3.0,6.0,Finished,4.0,74.5455,68.826,2021,São Paulo Grand Prix,False
GAS,AlphaTauri,7.0,7.0,Finished,4.0,74.859,68.777,2021,São Paulo Grand Prix,False
OCO,Alpine,8.0,8.0,Finished,3.0,75.811,69.189,2021,São Paulo Grand Prix,False
ALO,Alpine,12.0,9.0,Finished,3.0,75.589,69.113,2021,São Paulo Grand Prix,False
NOR,McLaren,5.0,10.0,Finished,5.0,75.753,68.98,2021,São Paulo Grand Prix,False
VET,Aston Martin,9.0,11.0,Finished,4.0,75.348,69.399,2021,São Paulo Grand Prix,False
RAI,Alfa Romeo Racing,0.0,12.0,Finished,4.0,75.231,69.503,2021,São Paulo Grand Prix,False
RUS,Williams,17.0,13.0,Finished,4.0,76.457,69.953,2021,São Paulo Grand Prix,False
GIO,Alfa Romeo Racing,13.0,14.0,Finished,4.0,75.813,70.227,2021,São Paulo Grand Prix,False
TSU,AlphaTauri,15.0,15.0,Finished,5.0,76.1085,69.483,2021,São Paulo Grand Prix,False
LAT,Williams,16.0,16.0,Finished,4.0,76.004,69.897,2021,São Paulo Grand Prix,False
MAZ,Haas F1 Team,19.0,17.0,Finished,3.0,77.4135,70.589,2021,São Paulo Grand Prix,False
MSC,Haas F1 Team,18.0,18.0,Finished,5.0,76.4195,70.329,2021,São Paulo Grand Prix,False
RIC,McLaren,11.0,19.0,DNF,3.0,75.607,69.039,2021,São Paulo Grand Prix,False
STR,Aston Martin,14.0,20.0,DNF,3.0,76.382,69.663,2021,São Paulo Grand Prix,False
HAM,Mercedes,1.0,1.0,Finished,2.0,87.423,80.827,2021,Qatar Grand Prix,True
VER,Red Bull Racing,7.0,2.0,Finished,3.0,87.174,81.282,2021,Qatar Grand Prix,True
ALO,Alpine,3.0,3.0,Finished,1.0,88.539,81.67,2021,Qatar Grand Prix,True
PER,Red Bull Racing,11.0,4.0,Finished,2.0,88.373,82.346,2021,Qatar Grand Prix,True
OCO,Alpine,9.0,5.0,Finished,1.0,88.905,82.028,2021,Qatar Grand Prix,True
STR,Aston Martin,12.0,6.0,Finished,1.0,88.744,82.46,2021,Qatar Grand Prix,True
SAI,Ferrari,5.0,7.0,Finished,1.0,89.731,81.84,2021,Qatar Grand Prix,True
LEC,Ferrari,13.0,8.0,Finished,1.0,89.763,82.463,2021,Qatar Grand Prix,True
NOR,McLaren,4.0,9.0,Finished,2.0,89.4555,81.731,2021,Qatar Grand Prix,True
VET,Aston Martin,10.0,10.0,Finished,1.0,89.3365,82.785,2021,Qatar Grand Prix,True
GAS,AlphaTauri,2.0,11.0,Finished,2.0,88.7425,81.64,2021,Qatar Grand Prix,True
RIC,McLaren,14.0,12.0,Finished,1.0,90.007,82.597,2021,Qatar Grand Prix,True
TSU,AlphaTauri,8.0,13.0,Finished,2.0,89.262,81.881,2021,Qatar Grand Prix,True
RAI,Alfa Romeo Racing,16.0,14.0,Finished,2.0,89.4755,83.156,2021,Qatar Grand Prix,True
GIO,Alfa Romeo Racing,18.0,15.0,Finished,2.0,89.3105,83.262,2021,Qatar Grand Prix,True
MSC,Haas F1 Team,19.0,16.0,Finished,1.0,90.36,83.407,2021,Qatar Grand Prix,True
RUS,Williams,15.0,17.0,Finished,2.0,89.699,82.756,2021,Qatar Grand Prix,True
MAZ,Haas F1 Team,20.0,18.0,Finished,1.0,91.838,85.859,2021,Qatar Grand Prix,True
LAT,Williams,17.0,19.0,Finished,1.0,90.142,83.213,2021,Qatar Grand Prix,True
BOT,Mercedes,6.0,20.0,Finished,1.0,88.819,81.478,2021,Qatar Grand Prix,True
